Empresa;Código;Código Yahoo;Setor
AMPLA ENERG;CBEE3;CBEE3.SA;Energia Elétrica
CEB;CEBR3;CEBR3.SA;Energia Elétrica
CEEE-D;CEED3;CEED3.SA;Energia Elétrica
CEEE-GT;EEEL4;EEEL4.SA;Energia Elétrica
CELESC;CLSC4;CLSC4.SA;Energia Elétrica
CEMIG;CMIG3;CMIG3.SA;Energia Elétrica
CESP;CESP3;CESP3.SA;Energia Elétrica
COPEL;CPLE3;CPLE3.SA;Energia Elétrica
CPFL ENERGIA;CPFE3;CPFE3.SA;Energia Elétrica
ELEKTRO;EKTR4;EKTR4.SA;Energia Elétrica
ELETROBRAS;ELET3;ELET3.SA;Energia Elétrica
ELETROPAR;LIPR3;LIPR3.SA;Energia Elétrica
EMAE;EMAE4;EMAE4.SA;Energia Elétrica
ENERGIAS BR;ENBR3;ENBR3.SA;Energia Elétrica
ENERGISA;ENGI3;ENGI3.SA;Energia Elétrica
ENERGISA MT;ENMT3;ENMT3.SA;Energia Elétrica
ENEVA;ENEV3;ENEV3.SA;Energia Elétrica
ENGIE BRASIL;EGIE3;EGIE3.SA;Energia Elétrica
EQUATORIAL;EQTL3;EQTL3.SA;EQTL PARA EQPA
LIGHT S/A;LIGT3;LIGT3.SA;EQTL PARA EQPA
NEOENERGIA;NEOE3;NEOE3.SA;EQTL PARA EQPA
OMEGA GER;OMGE3;OMGE3.SA;EQTL PARA EQPA
REDE ENERGIA;REDE3;REDE3.SA;EQTL PARA EQPA
RENOVA;RNEW3;RNEW3.SA;EQTL PARA EQPA
TAESA;TAEE3;TAEE3.SA;EQTL PARA EQPA
TRAN PAULIST;TRPL3;TRPL3.SA;EQTL PARA EQPA
COPASA;CSMG3;CSMG3.SA;Água e Saneamento
SABESP;SBSP3;SBSP3.SA;Água e Saneamento
SANEPAR;SAPR3;SAPR3.SA;Água e Saneamento
SANESALTO;SNST;SNST;Água e Saneamento
COMGAS;CGAS3;CGAS3.SA;Gás
ABC BRASIL;ABCB4;ABCB4.SA;Bancos
ALFA HOLDING;RPAD3;RPAD3.SA;Bancos
ALFA INVEST;BRIV3;BRIV3.SA;Bancos
AMAZONIA;BAZA3;BAZA3.SA;Bancos
BANCO BMG;BMGB4;BMGB4.SA;Bancos
BANCO INTER;BIDI3;BIDI3.SA;Bancos
BANCO PAN;BPAN4;BPAN4.SA;Bancos
BANESE;BGIP3;BGIP3.SA;Bancos
BANESTES;BEES3;BEES3.SA;Bancos
BANRISUL;BRSR3;BRSR3.SA;Bancos
BRADESCO;BBDC3;BBDC3.SA;Bancos
BRADESCO;BBDC4;BBDC4.SA;Bancos
BRASIL;BBAS3;BBAS3.SA;Bancos
BTGP BANCO;BPAC3;BPAC3.SA;Bancos
INDUSVAL;IDVL3;IDVL3.SA;Bancos
ITAUSA;ITSA3;ITSA3.SA;Bancos
ITAUSA;ITSA4;ITSA4.SA;Bancos
ITAUUNIBANCO;ITUB3;ITUB3.SA;Bancos
MERC BRASIL;BMEB3;BMEB3.SA;Bancos
MERC INVEST;BMIN3;BMIN3.SA;Bancos
NORD BRASIL;BNBR3;BNBR3.SA;Bancos
PINE;PINE4;PINE4.SA;Bancos
SANTANDER BR;SANB3;SANB3.SA;Bancos
ALFA FINANC;CRIV3;CRIV3.SA;Soc. Crédito e Financiamento
MERC FINANC;MERC3;MERC3.SA;Soc. Crédito e Financiamento
BRAZILIAN SC;BSCS;BSCS;Securitizadoras de Recebíveis
CIBRASEC;CBSC;CBSC;Securitizadoras de Recebíveis
GAIA AGRO;GAFL;GAFL;Securitizadoras de Recebíveis
GAIA SECURIT;GAIA;GAIA;Securitizadoras de Recebíveis
PPLA;PPLA11;PPLA11.SA;Gestão de Recursos e Investimentos
B3;B3SA3;B3SA3.SA;Serviços Financeiros Diversos
CIELO;CIEL3;CIEL3.SA;Serviços Financeiros Diversos
ALFA CONSORC;BRGE11;BRGE11.SA;Seguradoras
BBSEGURIDADE;BBSE3;BBSE3.SA;Seguradoras
IRBBRASIL RE;IRBR3;IRBR3.SA;Seguradoras
PORTO SEGURO;PSSA3;PSSA3.SA;Seguradoras
SUL AMERICA;SULA3;SULA3.SA;Seguradoras
ALPER S.A.;APER3;APER3.SA;Corretoras de Seguros
WIZ S.A.;WIZS3;WIZS3.SA;Corretoras de Seguros
ALIANSCSONAE;ALSO3;ALSO3.SA;Exploração de Imóveis
BR MALLS PAR;BRML3;BRML3.SA;Exploração de Imóveis
BR PROPERT;BRPR3;BRPR3.SA;Exploração de Imóveis
CYRE COM-CCP;CCPR3;CCPR3.SA;Exploração de Imóveis
GENERALSHOPP;GSHP3;GSHP3.SA;Exploração de Imóveis
IGB S/A;IGBR3;IGBR3.SA;Exploração de Imóveis
IGUATEMI;IGTA3;IGTA3.SA;Exploração de Imóveis
JEREISSATI;JPSA3;JPSA3.SA;Exploração de Imóveis
LOG COM PROP;LOGG3;LOGG3.SA;Exploração de Imóveis
MULTIPLAN;MULT3;MULT3.SA;Exploração de Imóveis
